2026-03-08 12:56:50.114409
昵称:  Tb
课题模式: 金45
RKS:  15.655680656433105
Data: 1GiB 668MiB 915KiB

\    EZ   HD   IN   AT
C    34  106  246  40 
FC   10  30  54   4 
AT    4   3   7   0 

P1 重生 IN,  ACC: 100.0000%, RKS: 14.300/14.3, Score:1000000
P2 Future Mind IN,  ACC: 100.0000%, RKS: 14.200/14.2, Score:1000000
P3 君往何处 (Quo Vadis) IN,  ACC: 100.0000%, RKS: 14.100/14.1, Score:1000000

B1 DESTRUCTION 3,2,1 AT,  ACC: 98.5236% >> 98.908%, RKS: 16.183/17.3, Score:919869
B2 Ark AT,  ACC: 99.5600% >> 99.954%, RKS: 16.179/16.5, Score:973616
B3 DESTRUCTION 3,2,1 IN,  ACC: 99.7324% >> 100.000%, RKS: 16.107/16.3, Score:972461
B4 祈 -我ら神祖と共に歩む者なり- IN,  ACC: 99.4509% >> 99.848%, RKS: 16.002/16.4, Score:955905
B5 Distorted Fate IN,  ACC: 99.5273% >> 99.926%, RKS: 15.959/16.3, Score:981860
B6 Ποσειδών AT,  ACC: 99.6376% >> 100.000%, RKS: 15.940/16.2, Score:968807
B7 volcanic AT,  ACC: 99.0788% >> 99.475%, RKS: 15.927/16.6, Score:949346
B8 Lyrith -迷宮リリス- IN,  ACC: 99.7553% >> 100.000%, RKS: 15.925/16.1, Score:996768
B9 Fractured Angel IN,  ACC: 99.4327% >> 99.833%, RKS: 15.892/16.3, Score:967034
B10 +ERABY+E CONNEC+10N IN,  ACC: 99.3235% >> 99.724%, RKS: 15.814/16.3, Score:951993
B11 Incyde IN,  ACC: 99.1717% >> 99.572%, RKS: 15.802/16.4, Score:939584
B12 Ad astra per aspera IN,  ACC: 99.2916% >> 99.693%, RKS: 15.791/16.3, Score:944893
B13 BANGING STRIKE AT,  ACC: 98.6136% >> 99.009%, RKS: 15.781/16.8, Score:925567
B14 Re：End of a Dream AT,  ACC: 98.4677% >> 98.862%, RKS: 15.769/16.9, Score:919397
B15 Cuvism³ AT,  ACC: 98.7270% >> 99.124%, RKS: 15.769/16.7, Score:941324
B16 彩 IN,  ACC: 99.3607% >> 99.764%, RKS: 15.743/16.2, Score:951025
B17 BANGING STRIKE IN,  ACC: 99.7756% >> 100.000%, RKS: 15.742/15.9, Score:997981
B18 Shadow AT,  ACC: 99.3572% >> 99.760%, RKS: 15.740/16.2, Score:994215
B19 祈 -我ら神祖と共に歩む者なり- AT,  ACC: 97.9185% >> 98.309%, RKS: 15.737/17.3, Score:919516
B20 K.Moe (VIP) IN,  ACC: 99.7358% >> 100.000%, RKS: 15.714/15.9, Score:997623
B21 Retribution ~ Cycle of Redemption ~  IN,  ACC: 99.2876% >> 99.691%, RKS: 15.691/16.2, Score:947131
B22 望影の方舟Six IN,  ACC: 99.6764% >> 100.000%, RKS: 15.672/15.9, Score:970455
B23 a truth seeker -Communication with Utopia will be lost- IN,  ACC: 99.7921% >> 100.000%, RKS: 15.654/15.8, Score:957662
B24 Cthugha AT,  ACC: 99.3629% >> 99.768%, RKS: 15.647/16.1, Score:975883
B25 白と黒のバケモノ IN,  ACC: 99.6199% >> 100.000%, RKS: 15.633/15.9, Score:996579
B26 Chronostasis IN,  ACC: 99.4759% >> 99.883%, RKS: 15.629/16.0, Score:989351
B27 GOODRAGE IN,  ACC: 99.4632% >> 99.870%, RKS: 15.621/16.0, Score:993298
————OVERFLOW————
B28 Re：End of a Dream IN,  ACC: 99.5953% >> 100.000%, RKS: 15.615/15.9, Score:956788
B29 QZKago Requiem IN,  ACC: 99.0230% >> 99.456%, RKS: 15.600/16.3, Score:941497
B30 Chronos Collapse - La Campanella IN,  ACC: 98.9500% >> 99.456%, RKS: 15.548/16.3, Score:956843
B31 Spasmodic AT,  ACC: 98.3662% >> 98.920%, RKS: 15.509/16.7, Score:922271
B32 Cthugha IN,  ACC: 99.2723% >> 99.870%, RKS: 15.487/16.0, Score:963593
B33 Aleph-0 IN,  ACC: 99.2655% >> 99.870%, RKS: 15.482/16.0, Score:968192
