2026-03-01 04:47:43.603839
昵称:  Tb
课题模式: 金45
RKS:  15.642019271850586
Data: 1GiB 628MiB 893KiB

\    EZ   HD   IN   AT
C    34  106  246  40 
FC   10  30  53   4 
AT    4   3   7   0 

P1 重生 IN,  ACC: 100.0000%, RKS: 14.300/14.3, Score:1000000
P2 Future Mind IN,  ACC: 100.0000%, RKS: 14.200/14.2, Score:1000000
P3 君往何处 (Quo Vadis) IN,  ACC: 100.0000%, RKS: 14.100/14.1, Score:1000000

B1 DESTRUCTION 3,2,1 AT,  ACC: 98.5236% >> 98.644%, RKS: 16.183/17.3, Score:919869
B2 Ark AT,  ACC: 99.5600% >> 99.683%, RKS: 16.179/16.5, Score:973616
B3 DESTRUCTION 3,2,1 IN,  ACC: 99.7324% >> 99.856%, RKS: 16.107/16.3, Score:972461
B4 祈 -我ら神祖と共に歩む者なり- IN,  ACC: 99.4509% >> 99.575%, RKS: 16.002/16.4, Score:955905
B5 Distorted Fate IN,  ACC: 99.5273% >> 99.652%, RKS: 15.959/16.3, Score:981860
B6 Ποσειδών AT,  ACC: 99.6376% >> 99.763%, RKS: 15.940/16.2, Score:968807
B7 volcanic AT,  ACC: 99.0788% >> 99.202%, RKS: 15.927/16.6, Score:949346
B8 Lyrith -迷宮リリス- IN,  ACC: 99.7553% >> 99.881%, RKS: 15.925/16.1, Score:996768
B9 Fractured Angel IN,  ACC: 99.4327% >> 99.557%, RKS: 15.892/16.3, Score:967034
B10 Incyde IN,  ACC: 99.1717% >> 99.297%, RKS: 15.802/16.4, Score:939584
B11 Ad astra per aspera IN,  ACC: 99.2916% >> 99.417%, RKS: 15.791/16.3, Score:944893
B12 BANGING STRIKE AT,  ACC: 98.6136% >> 98.737%, RKS: 15.781/16.8, Score:925567
B13 Re：End of a Dream AT,  ACC: 98.4677% >> 98.591%, RKS: 15.769/16.9, Score:919397
B14 Cuvism³ AT,  ACC: 98.7270% >> 98.851%, RKS: 15.769/16.7, Score:941324
B15 彩 IN,  ACC: 99.3607% >> 99.486%, RKS: 15.743/16.2, Score:951025
B16 BANGING STRIKE IN,  ACC: 99.7756% >> 99.903%, RKS: 15.742/15.9, Score:997981
B17 Shadow AT,  ACC: 99.3572% >> 99.483%, RKS: 15.740/16.2, Score:994215
B18 Retribution ~ Cycle of Redemption ~  IN,  ACC: 99.2876% >> 99.414%, RKS: 15.691/16.2, Score:947131
B19 望影の方舟Six IN,  ACC: 99.6764% >> 99.804%, RKS: 15.672/15.9, Score:970455
B20 +ERABY+E CONNEC+10N IN,  ACC: 99.1242% >> 99.250%, RKS: 15.672/16.3, Score:951993
B21 Cthugha AT,  ACC: 99.3629% >> 99.489%, RKS: 15.647/16.1, Score:955208
B22 白と黒のバケモノ IN,  ACC: 99.6199% >> 99.747%, RKS: 15.633/15.9, Score:996579
B23 a truth seeker -Communication with Utopia will be lost- IN,  ACC: 99.7566% >> 99.884%, RKS: 15.630/15.8, Score:957241
B24 Chronostasis IN,  ACC: 99.4759% >> 99.603%, RKS: 15.629/16.0, Score:989351
B25 GOODRAGE IN,  ACC: 99.4632% >> 99.590%, RKS: 15.621/16.0, Score:993298
B26 Re：End of a Dream IN,  ACC: 99.5953% >> 99.723%, RKS: 15.615/15.9, Score:956788
B27 QZKago Requiem IN,  ACC: 99.0230% >> 99.149%, RKS: 15.600/16.3, Score:941497
————OVERFLOW————
B28 Chronos Collapse - La Campanella IN,  ACC: 98.9500% >> 99.149%, RKS: 15.548/16.3, Score:956843
B29 Spasmodic AT,  ACC: 98.3662% >> 98.617%, RKS: 15.509/16.7, Score:922271
B30 Cthugha IN,  ACC: 99.2723% >> 99.561%, RKS: 15.487/16.0, Score:963593
B31 Aleph-0 IN,  ACC: 99.2655% >> 99.561%, RKS: 15.482/16.0, Score:968192
B32 NO x IN,  ACC: 99.1261% >> 99.422%, RKS: 15.481/16.1, Score:954883
B33 Compute It With Some Devilish Alcoholic Steampunk Engines IN,  ACC: 99.5383% >> 99.842%, RKS: 15.477/15.8, Score:995845
