2026-04-14 05:00:26.215613
昵称:  Tb
课题模式: 金45
RKS:  15.674532890319824
Data: 1GiB 727MiB 217KiB

\    EZ   HD   IN   AT
C    34  106  249  40 
FC   10  30  54   4 
AT    4   3   7   0 

P1 重生 IN,  ACC: 100.0000%, RKS: 14.300/14.3, Score:1000000
P2 Future Mind IN,  ACC: 100.0000%, RKS: 14.200/14.2, Score:1000000
P3 君往何处 (Quo Vadis) IN,  ACC: 100.0000%, RKS: 14.100/14.1, Score:1000000

B1 DESTRUCTION 3,2,1 AT,  ACC: 98.5236% >> 98.542%, RKS: 16.183/17.3, Score:919869
B2 Ark AT,  ACC: 99.5600% >> 99.579%, RKS: 16.179/16.5, Score:973616
B3 DESTRUCTION 3,2,1 IN,  ACC: 99.7520% >> 99.771%, RKS: 16.121/16.3, Score:983603
B4 彩 IN,  ACC: 99.5935% >> 99.613%, RKS: 16.105/16.4, Score:963193
B5 祈 -我ら神祖と共に歩む者なり- IN,  ACC: 99.5072% >> 99.527%, RKS: 16.043/16.4, Score:972433
B6 Distorted Fate IN,  ACC: 99.5273% >> 99.547%, RKS: 15.959/16.3, Score:981860
B7 祈 -我ら神祖と共に歩む者なり- AT,  ACC: 98.1953% >> 98.214%, RKS: 15.940/17.3, Score:919516
B8 Ποσειδών AT,  ACC: 99.6376% >> 99.657%, RKS: 15.940/16.2, Score:968807
B9 volcanic AT,  ACC: 99.0788% >> 99.098%, RKS: 15.927/16.6, Score:949346
B10 Lyrith -迷宮リリス- IN,  ACC: 99.7553% >> 99.775%, RKS: 15.925/16.1, Score:996768
B11 Fractured Angel IN,  ACC: 99.4327% >> 99.452%, RKS: 15.892/16.3, Score:967034
B12 +ERABY+E CONNEC+10N IN,  ACC: 99.3235% >> 99.343%, RKS: 15.814/16.3, Score:951993
B13 Ad astra per aspera IN,  ACC: 99.2916% >> 99.311%, RKS: 15.791/16.3, Score:944893
B14 BANGING STRIKE AT,  ACC: 98.6136% >> 98.633%, RKS: 15.781/16.8, Score:925567
B15 Re：End of a Dream AT,  ACC: 98.4677% >> 98.487%, RKS: 15.769/16.9, Score:919397
B16 Cuvism³ AT,  ACC: 98.7270% >> 98.746%, RKS: 15.769/16.7, Score:941324
B17 GOODRAGE IN,  ACC: 99.6615% >> 99.681%, RKS: 15.760/16.0, Score:996954
B18 BANGING STRIKE IN,  ACC: 99.7756% >> 99.796%, RKS: 15.742/15.9, Score:997981
B19 Shadow AT,  ACC: 99.3572% >> 99.377%, RKS: 15.740/16.2, Score:994215
B20 K.Moe (VIP) IN,  ACC: 99.7358% >> 99.756%, RKS: 15.714/15.9, Score:997623
B21 Retribution ~ Cycle of Redemption ~  IN,  ACC: 99.2876% >> 99.307%, RKS: 15.691/16.2, Score:947131
B22 望影の方舟Six IN,  ACC: 99.6764% >> 99.696%, RKS: 15.672/15.9, Score:970455
B23 a truth seeker -Communication with Utopia will be lost- IN,  ACC: 99.7921% >> 99.812%, RKS: 15.654/15.8, Score:957662
B24 Cthugha AT,  ACC: 99.3629% >> 99.383%, RKS: 15.647/16.1, Score:975883
B25 白と黒のバケモノ IN,  ACC: 99.6199% >> 99.640%, RKS: 15.633/15.9, Score:996579
B26 Chronostasis IN,  ACC: 99.4759% >> 99.496%, RKS: 15.629/16.0, Score:989351
B27 Re：End of a Dream IN,  ACC: 99.5953% >> 99.615%, RKS: 15.615/15.9, Score:983693
————OVERFLOW————
B28 Incyde IN,  ACC: 99.1717% >> 99.200%, RKS: 15.609/16.2, Score:944257
B29 QZKago Requiem IN,  ACC: 99.0230% >> 99.064%, RKS: 15.600/16.3, Score:941497
B30 Chronos Collapse - La Campanella IN,  ACC: 98.9500% >> 99.064%, RKS: 15.548/16.3, Score:956843
B31 Spasmodic AT,  ACC: 98.3662% >> 98.534%, RKS: 15.509/16.7, Score:922271
B32 Verrückt IN,  ACC: 98.6070% >> 98.797%, RKS: 15.494/16.5, Score:921261
B33 Cthugha IN,  ACC: 99.2723% >> 99.476%, RKS: 15.487/16.0, Score:963593
B34 Aleph-0 IN,  ACC: 99.2655% >> 99.476%, RKS: 15.482/16.0, Score:968192
B35 NO x IN,  ACC: 99.1261% >> 99.337%, RKS: 15.481/16.1, Score:954883
B36 Compute It With Some Devilish Alcoholic Steampunk Engines IN,  ACC: 99.5383% >> 99.756%, RKS: 15.477/15.8, Score:995845
B37 Retribution IN,  ACC: 98.9580% >> 99.200%, RKS: 15.458/16.2, Score:947968
B38 Poison AND÷OR Affection IN,  ACC: 99.6453% >> 99.899%, RKS: 15.453/15.7, Score:996807
B39 AbsoluTe disoRdeR IN,  ACC: 98.8000% >> 99.064%, RKS: 15.442/16.3, Score:918825
