2026-03-05 13:52:39.335346
昵称:  Tb
课题模式: 金45
RKS:  15.651376724243164
Data: 1GiB 655MiB 261KiB

\    EZ   HD   IN   AT
C    34  106  246  40 
FC   10  30  54   4 
AT    4   3   7   0 

P1 重生 IN,  ACC: 100.0000%, RKS: 14.300/14.3, Score:1000000
P2 Future Mind IN,  ACC: 100.0000%, RKS: 14.200/14.2, Score:1000000
P3 君往何处 (Quo Vadis) IN,  ACC: 100.0000%, RKS: 14.100/14.1, Score:1000000

B1 DESTRUCTION 3,2,1 AT,  ACC: 98.5236% >> 98.670%, RKS: 16.183/17.3, Score:919869
B2 Ark AT,  ACC: 99.5600% >> 99.710%, RKS: 16.179/16.5, Score:973616
B3 DESTRUCTION 3,2,1 IN,  ACC: 99.7324% >> 99.883%, RKS: 16.107/16.3, Score:972461
B4 祈 -我ら神祖と共に歩む者なり- IN,  ACC: 99.4509% >> 99.602%, RKS: 16.002/16.4, Score:955905
B5 Distorted Fate IN,  ACC: 99.5273% >> 99.679%, RKS: 15.959/16.3, Score:981860
B6 Ποσειδών AT,  ACC: 99.6376% >> 99.790%, RKS: 15.940/16.2, Score:968807
B7 volcanic AT,  ACC: 99.0788% >> 99.229%, RKS: 15.927/16.6, Score:949346
B8 Lyrith -迷宮リリス- IN,  ACC: 99.7553% >> 99.908%, RKS: 15.925/16.1, Score:996768
B9 Fractured Angel IN,  ACC: 99.4327% >> 99.584%, RKS: 15.892/16.3, Score:967034
B10 +ERABY+E CONNEC+10N IN,  ACC: 99.3235% >> 99.476%, RKS: 15.814/16.3, Score:951993
B11 Incyde IN,  ACC: 99.1717% >> 99.323%, RKS: 15.802/16.4, Score:939584
B12 Ad astra per aspera IN,  ACC: 99.2916% >> 99.444%, RKS: 15.791/16.3, Score:944893
B13 BANGING STRIKE AT,  ACC: 98.6136% >> 98.764%, RKS: 15.781/16.8, Score:925567
B14 Re：End of a Dream AT,  ACC: 98.4677% >> 98.617%, RKS: 15.769/16.9, Score:919397
B15 Cuvism³ AT,  ACC: 98.7270% >> 98.878%, RKS: 15.769/16.7, Score:941324
B16 彩 IN,  ACC: 99.3607% >> 99.514%, RKS: 15.743/16.2, Score:951025
B17 BANGING STRIKE IN,  ACC: 99.7756% >> 99.930%, RKS: 15.742/15.9, Score:997981
B18 Shadow AT,  ACC: 99.3572% >> 99.510%, RKS: 15.740/16.2, Score:994215
B19 K.Moe (VIP) IN,  ACC: 99.7358% >> 99.890%, RKS: 15.714/15.9, Score:997623
B20 Retribution ~ Cycle of Redemption ~  IN,  ACC: 99.2876% >> 99.441%, RKS: 15.691/16.2, Score:947131
B21 望影の方舟Six IN,  ACC: 99.6764% >> 99.831%, RKS: 15.672/15.9, Score:970455
B22 a truth seeker -Communication with Utopia will be lost- IN,  ACC: 99.7921% >> 99.947%, RKS: 15.654/15.8, Score:957662
B23 Cthugha AT,  ACC: 99.3629% >> 99.517%, RKS: 15.647/16.1, Score:975883
B24 白と黒のバケモノ IN,  ACC: 99.6199% >> 99.775%, RKS: 15.633/15.9, Score:996579
B25 Chronostasis IN,  ACC: 99.4759% >> 99.630%, RKS: 15.629/16.0, Score:989351
B26 GOODRAGE IN,  ACC: 99.4632% >> 99.618%, RKS: 15.621/16.0, Score:993298
B27 Re：End of a Dream IN,  ACC: 99.5953% >> 99.750%, RKS: 15.615/15.9, Score:956788
————OVERFLOW————
B28 QZKago Requiem IN,  ACC: 99.0230% >> 99.198%, RKS: 15.600/16.3, Score:941497
B29 Chronos Collapse - La Campanella IN,  ACC: 98.9500% >> 99.198%, RKS: 15.548/16.3, Score:956843
B30 Spasmodic AT,  ACC: 98.3662% >> 98.665%, RKS: 15.509/16.7, Score:922271
B31 Cthugha IN,  ACC: 99.2723% >> 99.610%, RKS: 15.487/16.0, Score:963593
B32 Aleph-0 IN,  ACC: 99.2655% >> 99.610%, RKS: 15.482/16.0, Score:968192
B33 NO x IN,  ACC: 99.1261% >> 99.471%, RKS: 15.481/16.1, Score:954883
